time,x-position,velocity,momentum,kinetic energy,potential energy
0,1,-0.25,-0.25,0.03125,2
0.1,0.956171,-0.620556,-0.620556,0.192545,1.82853
0.2,0.877298,-0.948908,-0.948908,0.450213,1.5393
0.3,0.768156,-1.22435,-1.22435,0.749513,1.18013
0.4,0.634467,-1.43874,-1.43874,1.03499,0.805096
0.5,0.482625,-1.58673,-1.58673,1.25886,0.465853
0.6,0.319421,-1.6658,-1.6658,1.38745,0.204059
0.7,0.151755,-1.67624,-1.67624,1.40489,0.0460591
0.8,-0.0136349,-1.62098,-1.62098,1.3138,0.00037182
0.9,-0.170428,-1.50539,-1.50539,1.1331,0.0580916
1,-0.312948,-1.33689,-1.33689,0.893641,0.195872
1.1,-0.436347,-1.12463,-1.12463,0.632392,0.380797
1.2,-0.536759,-0.878979,-0.878979,0.386302,0.576221
1.3,-0.611402,-0.611132,-0.611132,0.186741,0.747625
1.4,-0.658629,-0.332583,-0.332583,0.0553058,0.867585
1.5,-0.677941,-0.0546864,-0.0546864,0.0014953,0.919208
1.6,-0.669948,0.211784,0.211784,0.0224262,0.897662
1.7,-0.636294,0.457023,0.457023,0.104435,0.809739
1.8,-0.579537,0.672529,0.672529,0.226148,0.671726
1.9,-0.503012,0.851373,0.851373,0.362418,0.506042
2,-0.410659,0.988387,0.988387,0.488455,0.337281
2.1,-0.30684,1.08028,1.08028,0.583507,0.188302
2.2,-0.196153,1.12569,1.12569,0.63359,0.0769524
2.3,-0.0832371,1.12511,1.12511,0.632935,0.0138568
2.4,0.0274091,1.0808,1.0808,0.584068,0.00150252
2.5,0.131593,0.99663,0.99663,0.496636,0.0346335
2.6,0.225579,0.877806,0.877806,0.385272,0.101772
2.7,0.306209,0.730643,0.730643,0.26692,0.187528
2.8,0.370999,0.562245,0.562245,0.158059,0.275281
2.9,0.418203,0.380195,0.380195,0.0722742,0.349787
3,0.446841,0.19224,0.19224,0.0184781,0.399335
3.1,0.456707,0.00597591,0.00597591,1.78558e-05,0.417163
3.2,0.448333,-0.171436,-0.171436,0.0146952,0.402004
3.3,0.422932,-0.33353,-0.33353,0.055621,0.357743
3.4,0.382324,-0.474748,-0.474748,0.112693,0.292343
3.5,0.328829,-0.590617,-0.590617,0.174414,0.216257
3.6,0.265156,-0.677868,-0.677868,0.229753,0.140615
3.7,0.194277,-0.734504,-0.734504,0.269748,0.0754871
3.8,0.1193,-0.759816,-0.759816,0.28866,0.0284652
3.9,0.0433412,-0.754346,-0.754346,0.284519,0.00375692
4,-0.0305988,-0.719809,-0.719809,0.259063,0.00187257
4.1,-0.0997428,-0.658966,-0.658966,0.217118,0.0198973
4.2,-0.161636,-0.575465,-0.575465,0.16558,0.0522524
4.3,-0.214225,-0.473659,-0.473659,0.112176,0.0917848
4.4,-0.255919,-0.358399,-0.358399,0.0642248,0.130989
4.5,-0.285628,-0.234823,-0.234823,0.0275709,0.163166
4.6,-0.30278,-0.108142,-0.108142,0.00584738,0.183352
4.7,-0.307322,0.0165651,0.0165651,0.000137201,0.188894
4.8,-0.299692,0.134546,0.134546,0.00905135,0.179631
4.9,-0.28078,0.241541,0.241541,0.0291711,0.157675
5,-0.251872,0.333926,0.333926,0.0557532,0.126879
5.1,-0.214579,0.408819,0.408819,0.0835665,0.092088
5.2,-0.17076,0.464162,0.464162,0.107723,0.0583182
5.3,-0.122439,0.498757,0.498757,0.124379,0.0299825
5.4,-0.0717127,0.512269,0.512269,0.13121,0.0102854
5.5,-0.0206719,0.505202,0.505202,0.127614,0.000854653
5.6,0.0286835,0.478834,0.478834,0.114641,0.00164549
5.7,0.0745164,0.435132,0.435132,0.0946697,0.0111054
5.8,0.115216,0.37664,0.37664,0.0709288,0.0265496
5.9,0.149451,0.306355,0.306355,0.0469266,0.0446712
6,0.176204,0.227584,0.227584,0.0258973,0.0620959
6.1,0.194801,0.143805,0.143805,0.01034,0.0758947
6.2,0.204915,0.0585205,0.0585205,0.00171233,0.0839805
