time,x-position,velocity,momentum,kinetic energy,potential energy
0,1,1.75,1.75,1.53125,2
0.1,1.15484,1.33958,1.33958,0.897234,2.66731
0.2,1.26672,0.893214,0.893214,0.398915,3.20914
0.3,1.3328,0.426324,0.426324,0.0908762,3.55271
0.4,1.35182,-0.0453283,-0.0453283,0.00102733,3.65485
0.5,1.3241,-0.506128,-0.506128,0.128083,3.50646
0.6,1.25146,-0.941088,-0.941088,0.442823,3.1323
0.7,1.1372,-1.33631,-1.33631,0.892857,2.58647
0.8,0.985939,-1.67938,-1.67938,1.41016,1.94415
0.9,0.803419,-1.95979,-1.95979,1.9204,1.29097
1,0.59635,-2.16919,-2.16919,2.35268,0.711266
1.1,0.37215,-2.30163,-2.30163,2.64875,0.276991
1.2,0.138704,-2.35377,-2.35377,2.77011,0.0384776
1.3,-0.0959007,-2.32491,-2.32491,2.7026,0.0183939
1.4,-0.323641,-2.21703,-2.21703,2.45761,0.209487
1.5,-0.536821,-2.03467,-2.03467,2.06994,0.576354
1.6,-0.728323,-1.78481,-1.78481,1.59277,1.06091
1.7,-0.891835,-1.47657,-1.47657,1.09013,1.59074
1.8,-1.02206,-1.12099,-1.12099,0.628307,2.0892
1.9,-1.11487,-0.730563,-0.730563,0.266861,2.48587
2,-1.16746,-0.3189,-0.3189,0.0508486,2.72593
2.1,-1.17842,0.0997627,0.0997627,0.0049763,2.77733
2.2,-1.14776,0.511025,0.511025,0.130573,2.63469
2.3,-1.07693,0.900804,0.900804,0.405724,2.31955
2.4,-0.968756,1.2558,1.2558,0.788519,1.87697
2.5,-0.827331,1.56395,1.56395,1.22298,1.36895
2.6,-0.657876,1.81484,1.81484,1.64682,0.865601
2.7,-0.466556,2.00003,2.00003,2.00006,0.435348
2.8,-0.260267,2.11338,2.11338,2.23318,0.135478
2.9,-0.0463996,2.15123,2.15123,2.3139,0.00430584
3,0.167426,2.11258,2.11258,2.2315,0.0560629
3.1,0.373618,1.99906,1.99906,1.99812,0.279181
3.2,0.564882,1.81493,1.81493,1.64699,0.638183
3.3,0.734473,1.56694,1.56694,1.22764,1.0789
3.4,0.876437,1.26405,1.26405,0.798908,1.53628
3.5,0.985815,0.917188,0.917188,0.420617,1.94366
3.6,1.05882,0.538834,0.538834,0.145171,2.24221
3.7,1.09299,0.14259,0.14259,0.010166,2.38923
3.8,1.08722,-0.257296,-0.257296,0.0331006,2.36409
3.9,1.04188,-0.646435,-0.646435,0.208939,2.17105
4,0.958759,-1.01081,-1.01081,0.510868,1.83844
4.1,0.840988,-1.33728,-1.33728,0.894153,1.41452
4.2,0.692963,-1.61404,-1.61404,1.30257,0.960395
4.3,0.520172,-1.8311,-1.8311,1.67646,0.541158
4.4,0.328998,-1.98058,-1.98058,1.96136,0.21648
4.5,0.126491,-2.05708,-2.05708,2.1158,0.0319999
4.6,-0.0798903,-2.05783,-2.05783,2.11733,0.0127649
4.7,-0.282547,-1.98282,-1.98282,1.96579,0.159665
4.8,-0.474019,-1.83483,-1.83483,1.6833,0.449387
4.9,-0.647259,-1.61931,-1.61931,1.31108,0.837888
5,-0.795893,-1.34422,-1.34422,0.90346,1.26689
5.1,-0.914453,-1.01971,-1.01971,0.519907,1.67245
5.2,-0.998587,-0.657806,-0.657806,0.216355,1.99435
5.3,-1.04521,-0.27192,-0.27192,0.0369702,2.18495
5.4,-1.05265,0.123609,0.123609,0.0076396,2.21614
5.5,-1.02066,0.514053,0.514053,0.132125,2.0835
5.6,-0.950494,0.884843,0.884843,0.391474,1.80688
5.7,-0.844812,1.22211,1.22211,0.74678,1.42741
5.8,-0.707612,1.51322,1.51322,1.14492,1.00143
5.9,-0.544074,1.74722,1.74722,1.52639,0.592033
6,-0.360369,1.91529,1.91529,1.83417,0.259731
6.1,-0.163428,2.01107,2.01107,2.02221,0.0534177
6.2,0.0393111,2.03091,2.03091,2.06229,0.00309072
6.3,0.240191,1.97399,1.97399,1.94832,0.115383
6.4,0.431617,1.84242,1.84242,1.69725,0.372587
6.5,0.606347,1.64112,1.64112,1.34663,0.735314
6.6,0.757766,1.37766,1.37766,0.948973,1.14842
6.7,0.880137,1.06199,1.06199,0.563914,1.54928
6.8,0.968821,0.706064,0.706064,0.249264,1.87723
6.9,1.02046,0.323382,0.323382,0.0522878,2.08266
7,1.03309,-0.0715056,-0.0715056,0.00255653,2.13455
7.1,1.00625,-0.463552,-0.463552,0.10744,2.02508
7.2,0.940974,-0.837791,-0.837791,0.350947,1.77086
7.3,0.839764,-1.17991,-1.17991,0.696092,1.41041
7.4,0.706502,-1.47679,-1.47679,1.09045,0.99829
7.5,0.546297,-1.71703,-1.71703,1.4741,0.59688
7.6,0.365295,-1.89137,-1.89137,1.78865,0.266881
7.7,0.170446,-1.99308,-1.99308,1.98618,0.0581038
7.8,-0.0307637,-2.01818,-2.01818,2.03652,0.00189281
7.9,-0.230598,-1.96564,-1.96564,1.93187,0.106351
8,-0.421366,-1.83743,-1.83743,1.68808,0.355099
8.1,-0.595722,-1.63843,-1.63843,1.34223,0.709769
8.2,-0.746945,-1.37626,-1.37626,0.947043,1.11585
8.3,-0.869201,-1.06097,-1.06097,0.562831,1.51102
8.4,-0.957771,-0.704711,-0.704711,0.248309,1.83465
8.5,-1.00923,-0.321215,-0.321215,0.0515895,2.03711
8.6,-1.0216,0.0747039,0.0747039,0.00279034,2.08733
8.7,-0.99439,0.467728,0.467728,0.109385,1.97762
8.8,-0.928659,0.84263,0.84263,0.355013,1.72481
8.9,-0.826954,1.18486,1.18486,0.70195,1.36771
9,-0.69322,1.48113,1.48113,1.09687,0.961109
9.1,-0.532648,1.71989,1.71989,1.47901,0.567428
9.2,-0.351473,1.89183,1.89183,1.78951,0.247066
9.3,-0.156736,1.99023,1.99023,1.98051,0.0491325
9.4,0.0439889,2.01121,2.01121,2.02247,0.00387004
9.5,0.242892,1.95389,1.95389,1.90885,0.117993
9.6,0.432227,1.82048,1.82048,1.65707,0.373641
9.7,0.604619,1.6161,1.6161,1.3059,0.731127
9.8,0.753345,1.34871,1.34871,0.909504,1.13506
9.9,0.872603,1.02867,1.02867,0.529086,1.52287
10,0.957739,0.668473,0.668473,0.223428,1.83453
10.1,1.00543,0.282145,0.282145,0.039803,2.02176
10.2,1.0138,-0.115226,-0.115226,0.00663846,2.05558
10.3,0.98253,-0.508111,-0.508111,0.129088,1.93073
10.4,0.91284,-0.881139,-0.881139,0.388203,1.66655
10.5,0.807453,-1.2197,-1.2197,0.743838,1.30396
10.6,0.670492,-1.51053,-1.51053,1.14085,0.89912
10.7,0.507321,-1.7422,-1.7422,1.51763,0.514749
10.8,0.32433,-1.90561,-1.90561,1.81568,0.21038
10.9,0.128691,-1.99433,-1.99433,1.98867,0.033123
11,-0.0719246,-2.00483,-2.00483,2.00966,0.0103463
11.1,-0.269648,-1.93667,-1.93667,1.87534,0.145421
