time,x-position,velocity,momentum,kinetic energy,potential energy
0,1,-0,-0,0,2
0.1,0.980067,-0.397339,-0.397339,0.078939,1.92106
0.2,0.921061,-0.778837,-0.778837,0.303293,1.69671
0.3,0.825336,-1.12928,-1.12928,0.637642,1.36236
0.4,0.696707,-1.43471,-1.43471,1.0292,0.9708
0.5,0.540302,-1.68294,-1.68294,1.41615,0.583853
0.6,0.362358,-1.86408,-1.86408,1.73739,0.262606
0.7,0.169967,-1.9709,-1.9709,1.94222,0.0577777
0.8,-0.0291995,-1.99915,-1.99915,1.99829,0.00170522
0.9,-0.227202,-1.9477,-1.9477,1.89676,0.103242
1,-0.416147,-1.81859,-1.81859,1.65364,0.346356
1.1,-0.588501,-1.61699,-1.61699,1.30733,0.692667
1.2,-0.737394,-1.35093,-1.35093,0.912501,1.0875
1.3,-0.856889,-1.031,-1.031,0.531483,1.46852
1.4,-0.942222,-0.669976,-0.669976,0.224434,1.77557
1.5,-0.989992,-0.28224,-0.28224,0.0398297,1.96017
1.6,-0.998295,0.116748,0.116748,0.00681508,1.99318
1.7,-0.966798,0.511082,0.511082,0.130603,1.8694
1.8,-0.896758,0.885041,0.885041,0.391649,1.60835
1.9,-0.790968,1.22372,1.22372,0.74874,1.25126
2,-0.653644,1.5136,1.5136,1.1455,0.8545
2.1,-0.490261,1.74315,1.74315,1.51929,0.480711
2.2,-0.307333,1.9032,1.9032,1.81109,0.188907
2.3,-0.112153,1.98738,1.98738,1.97484,0.0251564
2.4,0.087499,1.99233,1.99233,1.98469,0.0153121
2.5,0.283662,1.91785,1.91785,1.83907,0.160928
2.6,0.468517,1.76691,1.76691,1.56098,0.439016
2.7,0.634693,1.54553,1.54553,1.19433,0.80567
2.8,0.775566,1.26253,1.26253,0.796995,1.203
2.9,0.88552,0.929204,0.929204,0.43171,1.56829
3,0.96017,0.558831,0.558831,0.156146,1.84385
3.1,0.996542,0.166179,0.166179,0.0138077,1.98619
3.2,0.993185,-0.233098,-0.233098,0.0271674,1.97283
3.3,0.950233,-0.623083,-0.623083,0.194116,1.80588
3.4,0.869397,-0.988227,-0.988227,0.488296,1.5117
3.5,0.753902,-1.31397,-1.31397,0.863263,1.13674
3.6,0.608351,-1.58734,-1.58734,1.25982,0.740183
3.7,0.438547,-1.79742,-1.79742,1.61535,0.384648
3.8,0.25126,-1.93584,-1.93584,1.87374,0.126263
3.9,0.0539554,-1.99709,-1.99709,1.99418,0.00582237
4,-0.1455,-1.97872,-1.97872,1.95766,0.0423405
4.1,-0.339155,-1.88146,-1.88146,1.76995,0.230052
4.2,-0.519289,-1.7092,-1.7092,1.46068,0.539321
4.3,-0.67872,-1.46879,-1.46879,1.07868,0.921322
4.4,-0.811093,-1.16983,-1.16983,0.684256,1.31574
4.5,-0.91113,-0.824237,-0.824237,0.339683,1.66032
4.6,-0.974844,-0.44578,-0.44578,0.0993598,1.90064
4.7,-0.999693,-0.0495509,-0.0495509,0.00122764,1.99877
4.8,-0.984688,0.348654,0.348654,0.0607797,1.93922
4.9,-0.930426,0.732958,0.732958,0.268614,1.73139
5,-0.839072,1.08804,1.08804,0.591918,1.40808
5.1,-0.714266,1.39975,1.39975,0.979649,1.02035
5.2,-0.560984,1.65565,1.65565,1.37059,0.629407
5.3,-0.385338,1.84555,1.84555,1.70303,0.296971
5.4,-0.19433,1.96187,1.96187,1.92447,0.0755282
5.5,0.0044257,1.99998,1.99998,1.99996,3.91736e-05
5.6,0.203005,1.95836,1.95836,1.91758,0.0824219
5.7,0.393491,1.83866,1.83866,1.69033,0.30967
5.8,0.56829,1.64566,1.64566,1.35409,0.645906
5.9,0.720432,1.38705,1.38705,0.961954,1.03805
6,0.843854,1.07315,1.07315,0.575821,1.42418
6.1,0.933634,0.716459,0.716459,0.256656,1.74334
6.2,0.986192,0.331208,0.331208,0.0548495,1.94515
6.3,0.999435,-0.0672461,-0.0672461,0.00226102,1.99774
6.4,0.972833,-0.46302,-0.46302,0.107194,1.89281
6.5,0.907447,-0.840334,-0.840334,0.353081,1.64692
6.6,0.805884,-1.18415,-1.18415,0.701102,1.2989
6.7,0.672193,-1.48075,-1.48075,1.09631,0.903687
6.8,0.511704,-1.71832,-1.71832,1.47632,0.523682
6.9,0.330815,-1.88739,-1.88739,1.78112,0.218877
7,0.136737,-1.98121,-1.98121,1.96261,0.0373941
7.1,-0.0627917,-1.99605,-1.99605,1.99211,0.0078856
7.2,-0.259817,-1.93132,-1.93132,1.86499,0.13501
7.3,-0.446485,-1.78958,-1.78958,1.6013,0.398698
7.4,-0.615352,-1.5765,-1.5765,1.24268,0.757317
7.5,-0.759688,-1.30058,-1.30058,0.845749,1.15425
7.6,-0.873737,-0.972797,-0.972797,0.473167,1.52683
7.7,-0.952953,-0.606237,-0.606237,0.183761,1.81624
7.8,-0.994178,-0.215507,-0.215507,0.0232217,1.97678
7.9,-0.995768,0.183814,0.183814,0.0168937,1.98311
8,-0.957659,0.575807,0.575807,0.165777,1.83422
8.1,-0.881372,0.944844,0.944844,0.446365,1.55363
8.2,-0.769948,1.27621,1.27621,0.81436,1.18564
8.3,-0.627828,1.5567,1.5567,1.21166,0.788336
8.4,-0.460679,1.77513,1.77513,1.57555,0.42445
8.5,-0.275163,1.92279,1.92279,1.84857,0.15143
8.6,-0.0786782,1.9938,1.9938,1.98762,0.0123805
8.7,0.120944,1.98532,1.98532,1.97075,0.0292547
8.8,0.315744,1.89769,1.89769,1.80061,0.199388
8.9,0.497956,1.7344,1.7344,1.50408,0.495921
9,0.660317,1.50197,1.50197,1.12796,0.872036
9.1,0.796352,1.20967,1.20967,0.731645,1.26835
9.2,0.90064,0.869131,0.869131,0.377695,1.62231
9.3,0.969022,0.493947,0.493947,0.121992,1.87801
9.4,0.998772,0.0990713,0.0990713,0.00490756,1.99509
9.5,0.988705,-0.299754,-0.299754,0.0449264,1.95507
9.6,0.93922,-0.68663,-0.68663,0.23573,1.76427
9.7,0.852292,-1.04613,-1.04613,0.547196,1.4528
9.8,0.731386,-1.36393,-1.36393,0.930149,1.06985
9.9,0.581322,-1.62735,-1.62735,1.32413,0.67587
10,0.408082,-1.82589,-1.82589,1.66694,0.333062
10.1,0.218573,-1.95164,-1.95164,1.90445,0.0955486
10.2,0.0203508,-1.99959,-1.99959,1.99917,0.000828314
10.3,-0.178683,-1.96781,-1.96781,1.93614,0.0638552
10.4,-0.370593,-1.85759,-1.85759,1.72532,0.274679
10.5,-0.547729,-1.67331,-1.67331,1.39999,0.600015
10.6,-0.703029,-1.42232,-1.42232,1.0115,0.988499
10.7,-0.830301,-1.11463,-1.11463,0.6212,1.3788
10.8,-0.924472,-0.762501,-0.762501,0.290704,1.7093
10.9,-0.981787,-0.379973,-0.379973,0.0721899,1.92781
11,-0.999961,0.0177026,0.0177026,0.000156691,1.99984
11.1,-0.97827,0.414673,0.414673,0.0859768,1.91402
11.2,-0.917578,0.795111,0.795111,0.316101,1.6839
11.3,-0.820305,1.14385,1.14385,0.654198,1.3458
11.4,-0.69033,1.44699,1.44699,1.04689,0.953111
11.5,-0.532833,1.69244,1.69244,1.43218,0.567822
11.6,-0.354094,1.87042,1.87042,1.74924,0.250765
11.7,-0.161238,1.97383,1.97383,1.948,0.0519954
11.8,0.0380459,1.99855,1.99855,1.99711,0.00289498
11.9,0.235813,1.9436,1.9436,1.88878,0.111216
12,0.424179,1.81116,1.81116,1.64014,0.359856
12.1,0.595634,1.60651,1.60651,1.29044,0.70956
12.2,0.743344,1.33782,1.33782,0.894881,1.10512
12.3,0.861418,1.01579,1.01579,0.515918,1.48408
12.4,0.945151,0.65327,0.65327,0.213381,1.78662
12.5,0.991203,0.264704,0.264704,0.035034,1.96497
12.6,0.997739,-0.134416,-0.134416,0.00903385,1.99097
12.7,0.964498,-0.528177,-0.528177,0.139485,1.86051
12.8,0.892806,-0.900881,-0.900881,0.405793,1.59421
12.9,0.785521,-1.23767,-1.23767,0.765914,1.23409
13,0.646919,-1.52512,-1.52512,1.16299,0.837009
13.1,0.482527,-1.75176,-1.75176,1.53434,0.465665
13.2,0.298898,-1.90857,-1.90857,1.82132,0.17868
13.3,0.103353,-1.98929,-1.98929,1.97864,0.0213635
13.4,-0.0963129,-1.9907,-1.9907,1.98145,0.0185524
13.5,-0.292139,-1.91275,-1.91275,1.82931,0.17069
13.6,-0.476318,-1.75855,-1.75855,1.54624,0.453758
13.7,-0.641508,-1.53423,-1.53423,1.17693,0.823065
13.8,-0.781123,-1.24875,-1.24875,0.779694,1.22031
13.9,-0.889597,-0.913492,-0.913492,0.417234,1.58277
14,-0.962606,-0.541812,-0.541812,0.14678,1.85322
14.1,-0.997239,-0.148531,-0.148531,0.0110307,1.98897
14.2,-0.992114,0.250671,0.250671,0.031418,1.96858
14.3,-0.947438,0.63988,0.63988,0.204723,1.79528
14.4,-0.86499,1.00358,1.00358,0.503585,1.49641
14.5,-0.748058,1.32727,1.32727,0.88082,1.11918
14.6,-0.601302,1.59804,1.59804,1.27687,0.723129
14.7,-0.430575,1.80511,1.80511,1.62921,0.37079
14.8,-0.242683,1.94021,1.94021,1.88221,0.11779
14.9,-0.0451149,1.99796,1.99796,1.99593,0.00407071
15,0.154251,1.97606,1.97606,1.95241,0.047587
15.1,0.347468,1.87538,1.87538,1.75853,0.241468
15.2,0.526833,1.69994,1.69994,1.44489,0.555105
15.3,0.685194,1.45672,1.45672,1.06102,0.938981
15.4,0.816239,1.15543,1.15543,0.667509,1.33249
15.5,0.914742,0.808075,0.808075,0.326493,1.67351
15.6,0.976778,0.428505,0.428505,0.0918083,1.90819
15.7,0.999873,0.0318517,0.0318517,0.000507266,1.99949
15.8,0.983106,-0.366071,-0.366071,0.0670042,1.933
15.9,0.927146,-0.749401,-0.749401,0.280801,1.7192
16,0.834223,-1.10285,-1.10285,0.608143,1.39186
16.1,0.708043,-1.41234,-1.41234,0.997351,1.00265
16.2,0.553635,-1.66552,-1.66552,1.38698,0.613023
16.3,0.377155,-1.8523,-1.8523,1.71551,0.284492
16.4,0.18564,-1.96524,-1.96524,1.93108,0.0689242
16.5,-0.0132767,-1.99982,-1.99982,1.99965,0.000352544
16.6,-0.211664,-1.95469,-1.95469,1.9104,0.0896032
16.7,-0.401613,-1.83162,-1.83162,1.67741,0.322586
16.8,-0.57555,-1.63553,-1.63553,1.33748,0.662517
16.9,-0.726543,-1.37424,-1.37424,0.944271,1.05573
17,-0.84857,-1.05817,-1.05817,0.559857,1.44014
17.1,-0.936768,-0.699903,-0.699903,0.244932,1.75507
17.2,-0.987619,-0.313737,-0.313737,0.0492155,1.95078
17.3,-0.999098,0.0849361,0.0849361,0.00360707,1.99639
17.4,-0.970745,0.480223,0.480223,0.115307,1.88469
17.5,-0.903692,0.856365,0.856365,0.366681,1.63332
17.6,-0.800612,1.19837,1.19837,0.718042,1.28196
17.7,-0.665613,1.49259,1.49259,1.11392,0.886083
17.8,-0.504079,1.72731,1.72731,1.49181,0.508192
17.9,-0.322449,1.89317,1.89317,1.79205,0.207947
18,-0.127964,1.98356,1.98356,1.96725,0.0327494
18.1,0.0716231,1.99486,1.99486,1.98974,0.0102597
18.2,0.268355,1.92664,1.92664,1.85597,0.144028
18.3,0.454387,1.78161,1.78161,1.58706,0.412936
18.4,0.622305,1.56555,1.56555,1.22547,0.774528
18.5,0.765414,1.28708,1.28708,0.828283,1.17172
18.6,0.878008,0.957292,0.957292,0.458204,1.5418
18.7,0.955599,0.589343,0.589343,0.173663,1.82634
18.8,0.995092,0.197899,0.197899,0.0195821,1.98042
18.9,0.994915,-0.201434,-0.201434,0.0202879,1.97971
19,0.955074,-0.592737,-0.592737,0.175669,1.82433
19.1,0.877156,-0.96041,-0.96041,0.461193,1.53881
19.2,0.76427,-1.28979,-1.28979,0.831784,1.16822
19.3,0.620914,-1.56776,-1.56776,1.22893,0.771068
19.4,0.452804,-1.78322,-1.78322,1.58994,0.410064
19.5,0.266643,-1.92759,-1.92759,1.8578,0.142197
19.6,0.0698512,-1.99511,-1.99511,1.99024,0.00975839
19.7,-0.129725,-1.9831,-1.9831,1.96634,0.0336573
19.8,-0.32413,-1.89203,-1.89203,1.78988,0.21012
